,SA2_MAINCODE_2016,SA2_name,Index of Relative Socio-economic Disadvantage: Score,Male_Lone_Parent_Employed_Worked_Full_Time,Female_Lone_Parent_Employed_Worked_Full_Time,Total_Lone_Parents_Employed_Worked_Full_Time,Male_Lone_Parent_Total_Employed,Female_Lone_Parent_Total_Employed,Total_Lone_Parents_Total_Employed,Male_Lone_Parent_Total_Unemployed,Female_Lone_Parent_Total_Unemployed,Total_Lone_Parents_Total_Unemployed,Male_Lone_Parent_Total,Female_Lone_Parent_Total,Total_Lone_Parents_Total,Female_parent_Employed_worked_Full_time_Male_parent_Employed_Worked_full_time,Female_parent_Employed_worked_Full_time_Male_parent_Employed_Worked_part_time,Female_parent_Employed_worked_Full_time_Male_parent_Unemployed_looking_for_Total,Female_parent_Employed_worked_Full_time_Male_parent_Not_in_the_labour_force,Female_parent_Employed_worked_Full_time_Total,Female_parent_Employed_worked_Part_time_Male_parent_Employed_Worked_full_time,Female_parent_Employed_worked_Part_time_Male_parent_Employed_Worked_part_time,Female_parent_Employed_worked_Part_time_Male_parent_Employed_Total,Female_parent_Employed_worked_Part_time_Total,Female_parent_Employed_away_from_work_Male_parent_Employed_Total,Female_parent_Total_Employed_Male_Parent_Employed_Total,Female_parent_Total_Unemployed_Male_Parent_Employed_Total,Female_parent_Total_Unemployed_Male_Parent_Unemployed_Looking_For_Total,Female_parent_Not_in_the_labour_force_Male_parent_Employed_Total,Female_parent_Not_in_the_labour_force_Male_parent_Not_in_the_labour_force,Female_parent_Total_Total,code,name,total,vulnerable,vulnerable_percentage
34,207021157,Doncaster,1037,0,11,8,0,24,28,0,0,0,4,65,67,107,10,6,14,138,189,33,226,236,68,425,23,9,263,35,797,21157,Doncaster,210,52,0.25
35,207021159,Templestowe,1085,3,10,19,3,22,26,6,0,4,8,40,47,86,16,0,5,107,167,17,190,196,44,344,24,0,190,22,599,21159,Templestowe,151,29,0.19
36,207021160,Templestowe Lower,1064,0,4,5,4,19,21,0,0,0,8,36,45,103,6,3,4,116,201,17,223,228,58,390,14,3,188,11,644,21160,Templestowe Lower,114,13,0.11
37,207021424,Doncaster East (North),1077,0,11,12,0,23,21,0,3,4,0,40,38,94,5,3,3,111,137,18,159,165,39,309,15,0,224,18,583,21424,Doncaster East (North),175,39,0.22
38,207021425,Doncaster East (South),1029,3,13,18,3,27,26,0,0,0,4,58,64,104,7,6,13,136,157,30,195,203,59,371,24,0,238,30,721,21425,Doncaster East (South),206,42,0.2
39,208021174,Bentleigh - McKinnon,1069,3,12,18,3,37,37,0,0,0,11,62,70,152,23,0,3,181,399,25,435,450,122,744,24,3,283,19,1111,21174,Bentleigh - McKinnon,279,30,0.11
40,208021176,Carnegie,1062,3,3,8,3,20,28,0,0,3,9,32,41,139,12,4,3,167,266,33,304,308,83,552,43,0,305,15,967,21176,Carnegie,163,21,0.13
41,208021177,Caulfield - North,1087,7,8,9,6,33,40,0,0,0,11,52,67,104,10,4,8,128,376,55,446,473,93,671,25,9,335,29,1145,21177,Caulfield - North,163,22,0.13
42,208021178,Caulfield - South,1087,8,3,5,10,17,21,0,3,3,10,34,39,130,12,3,7,155,365,30,401,422,77,620,6,0,215,13,896,21178,Caulfield - South,159,28,0.18
43,208021179,Elsternwick,1090,4,5,11,4,17,17,0,0,0,4,24,28,84,13,3,3,104,199,19,224,236,70,395,12,0,140,10,585,21179,Elsternwick,92,7,0.08
44,208021180,Hughesdale,1043,0,3,7,4,8,15,0,3,3,4,23,25,63,3,3,4,76,114,12,126,125,41,244,17,0,132,3,406,21180,Hughesdale,88,10,0.11
45,208021181,Murrumbeena,1073,0,6,6,0,9,9,0,0,0,0,14,10,70,10,3,9,84,172,15,187,193,47,305,23,0,132,3,489,21181,Murrumbeena,87,12,0.14
46,208021182,Ormond - Glen Huntly,1064,4,12,17,7,22,32,0,0,0,5,31,39,115,14,10,8,151,170,22,188,190,61,384,37,0,197,9,660,21182,Ormond - Glen Huntly,135,20,0.15
47,208021426,Bentleigh East (North),1065,6,6,12,8,26,27,0,3,3,6,55,58,128,18,4,13,167,266,25,295,309,82,537,27,3,175,9,788,21426,Bentleigh East (North),158,29,0.18
48,208021427,Bentleigh East (South),1065,4,16,18,3,34,40,0,0,0,3,54,58,129,19,4,7,160,278,28,309,316,72,536,8,0,217,4,804,21427,Bentleigh East (South),188,25,0.13
49,209021205,Kingsbury,1014,0,3,5,0,17,18,0,0,0,0,32,38,49,5,0,9,65,114,9,129,129,18,198,10,5,104,38,381,21205,Kingsbury,86,20,0.23
50,209021207,Reservoir - East,940,8,17,21,4,63,63,0,5,5,13,210,224,126,30,4,12,178,306,81,388,408,75,642,47,8,471,120,1382,21207,Reservoir - East,283,55,0.19
51,209021208,Reservoir - West,966,3,21,26,9,52,55,0,10,10,19,125,140,139,23,11,11,182,324,56,386,404,103,652,37,6,431,149,1376,21208,Reservoir - West,268,45,0.17
52,209021428,Preston - East,979,7,9,13,10,31,41,0,3,3,14,94,106,87,25,0,11,120,266,40,310,324,89,511,21,3,227,97,905,21428,Preston - East,196,40,0.2
53,209021429,Preston - West,1029,0,7,8,0,25,31,0,4,4,0,49,52,54,11,3,7,77,223,33,257,271,67,394,10,0,208,20,666,21429,Preston - West,185,39,0.21
54,210021232,Gisborne,1083,0,8,9,0,33,38,0,0,0,0,51,51,84,4,0,0,94,323,24,352,361,89,537,8,0,228,6,801,21232,Gisborne,223,40,0.18
55,210021233,Macedon,1103,0,0,3,0,0,7,0,0,0,0,11,7,8,3,0,4,21,64,5,69,72,11,93,3,0,46,4,159,21233,Macedon,32,2,0.06
56,210021234,Riddells Creek,1083,3,0,3,3,7,8,0,0,0,3,9,14,24,0,0,0,24,68,3,70,70,30,125,0,0,45,0,176,21234,Riddells Creek,57,11,0.19
57,210021235,Romsey,1041,4,7,11,5,17,23,0,0,0,5,56,57,44,3,0,3,56,142,14,157,162,53,264,8,0,157,8,449,21235,Romsey,122,26,0.21
58,211021261,Donvale - Park Orchards,1095,7,9,14,8,20,28,0,0,0,8,38,47,73,11,0,0,84,219,30,254,263,68,405,12,0,189,5,645,21261,Donvale - Park Orchards,158,30,0.19
59,211021262,Warrandyte - Wonga Park,1107,0,0,0,0,6,6,0,0,0,0,17,17,40,6,0,0,52,125,6,131,137,23,209,4,0,92,4,314,21262,Warrandyte - Wonga Park,93,12,0.13
60,212021293,Berwick - North,1059,4,14,19,4,52,55,0,3,3,3,100,103,116,13,0,5,142,354,31,399,408,85,620,24,0,341,14,1053,21293,Berwick - North,265,38,0.14
61,212021294,Berwick - South,1060,6,23,31,14,61,79,0,10,13,14,173,185,234,34,4,21,294,588,68,665,680,143,1093,48,3,632,33,1871,21294,Berwick - South,438,70,0.16
62,212021295,Doveton,826,3,9,9,3,27,29,0,10,10,3,153,155,45,10,0,6,61,59,10,74,79,11,138,28,4,274,77,575,21295,Doveton,147,51,0.35
63,212021297,Hallam,946,3,9,13,4,22,26,0,9,9,10,83,88,45,16,3,5,75,98,23,127,133,31,226,14,5,272,57,619,21297,Hallam,138,45,0.33
64,212021299,Narre Warren North,1084,0,3,3,0,3,3,0,0,0,0,10,16,47,7,0,0,54,115,12,127,125,21,200,4,0,81,15,303,21299,Narre Warren North,61,5,0.08
65,212021453,Endeavour Hills - North,1002,3,16,18,4,28,32,0,11,11,5,74,85,84,13,6,7,112,134,21,162,168,33,303,10,3,220,23,595,21453,Endeavour Hills - North,122,22,0.18
66,212021454,Endeavour Hills - South,1009,0,12,13,3,23,27,0,3,3,3,80,85,86,6,3,0,98,125,20,143,154,50,288,24,3,268,36,670,21454,Endeavour Hills - South,164,43,0.26
67,212021455,Narre Warren - North East,1024,0,9,7,4,29,33,0,7,7,9,96,101,75,3,0,8,83,179,28,210,214,43,339,21,3,252,36,692,21455,Narre Warren - North East,178,30,0.17
68,212021456,Narre Warren - South West,975,0,11,7,4,37,40,0,9,9,4,136,145,90,6,3,7,110,173,15,197,208,64,367,37,3,299,41,789,21456,Narre Warren - South West,163,38,0.23
69,213021341,Altona,1034,0,9,12,0,28,28,0,3,3,3,59,64,105,15,5,4,126,202,24,231,231,75,422,16,3,179,11,653,21341,Altona,151,19,0.13
70,213021342,Altona Meadows,980,0,18,21,4,49,53,0,5,8,8,135,146,105,12,6,7,129,234,28,266,282,94,484,25,5,340,43,957,21342,Altona Meadows,195,63,0.32
71,213021343,Altona North,949,3,8,14,6,24,29,0,3,3,11,76,89,87,14,4,14,120,206,22,231,240,78,421,15,0,315,57,875,21343,Altona North,143,35,0.24
72,213021344,Newport,1073,3,26,26,3,50,55,0,0,0,3,74,84,172,34,4,14,224,436,28,475,487,143,836,23,0,302,15,1224,21344,Newport,272,29,0.11
73,213021345,Seabrook,1019,0,4,5,0,10,6,0,0,0,0,35,37,44,7,0,5,61,71,8,83,87,20,156,10,0,108,12,307,21345,Seabrook,106,14,0.13
74,213021346,Williamstown,1067,8,6,17,8,20,22,0,4,4,8,63,64,112,13,0,5,130,211,21,237,247,68,438,12,5,212,8,699,21346,Williamstown,193,24,0.12
75,214021377,Dromana,1014,3,3,3,3,26,29,0,0,0,3,71,68,44,5,0,0,49,124,10,133,138,40,227,4,0,124,7,367,21377,Dromana,118,29,0.25
76,214021378,Flinders,1084,0,0,0,0,7,7,0,0,0,0,10,10,6,3,0,3,18,63,7,70,77,14,98,0,0,56,5,169,21378,Flinders,52,10,0.19
77,214021379,Hastings - Somers,992,0,17,18,0,60,67,5,9,17,9,206,211,85,6,3,4,100,300,35,341,359,81,516,24,0,311,23,933,21379,Hastings - Somers,286,93,0.33
78,214021380,Mornington,1022,3,21,23,11,63,75,0,12,12,10,153,164,98,8,3,0,107,375,34,418,439,80,612,17,0,238,5,920,21380,Mornington,233,40,0.17
79,214021381,Mount Eliza,1110,5,0,3,5,15,21,0,4,4,7,30,39,120,9,0,9,141,333,28,361,368,61,563,12,3,223,9,832,21381,Mount Eliza,282,19,0.07
80,214021382,Mount Martha,1087,0,6,14,8,28,35,0,0,0,8,45,52,96,7,0,0,107,429,26,463,465,74,644,14,0,259,4,946,21382,Mount Martha,205,19,0.09
81,214021383,Point Nepean,1014,3,5,6,3,41,38,0,0,0,3,111,116,34,5,0,8,46,218,35,262,272,43,348,12,4,202,19,616,21383,Point Nepean,161,20,0.12
82,214021384,Rosebud - McCrae,962,5,7,12,9,62,67,0,15,15,13,165,176,51,11,0,6,69,276,28,308,321,41,419,10,3,230,16,709,21384,Rosebud - McCrae,207,42,0.2
83,214021385,Somerville,1035,10,12,19,10,54,61,0,5,5,10,134,141,73,5,3,3,88,309,26,339,354,67,499,10,4,217,4,769,21385,Somerville,210,47,0.22
84,215021395,Irymple,1018,3,0,5,3,13,16,0,0,0,3,46,52,33,6,3,0,41,114,14,127,131,35,199,4,0,74,4,304,21395,Irymple,89,12,0.13
85,215021396,Merbein,948,6,0,7,3,13,20,0,0,0,8,42,53,20,0,3,0,24,61,3,59,66,13,98,3,5,70,13,206,21396,Merbein,57,8,0.14
86,215021398,Mildura Region,973,0,0,0,0,3,9,0,0,0,0,20,24,9,3,0,0,17,58,6,60,60,9,86,3,0,44,0,150,21398,Mildura Region,30,5,0.17
87,215021399,Red Cliffs,928,0,3,4,8,9,22,0,0,0,12,69,79,17,0,4,0,20,79,3,87,92,26,129,8,0,70,17,237,21399,Red Cliffs,74,24,0.32
88,215021469,Mildura - North,886,7,21,30,11,66,75,0,14,14,22,280,303,63,13,3,4,83,189,34,225,237,54,361,8,11,243,42,735,21469,Mildura - North,225,62,0.28
89,215021470,Mildura - South,945,6,8,15,7,38,43,4,13,12,10,137,149,57,7,0,3,74,213,14,236,255,55,374,15,0,178,34,659,21470,Mildura - South,203,47,0.23
90,216021411,Cobram,913,0,5,5,0,24,24,0,4,4,0,58,57,13,3,0,4,25,86,6,93,97,18,130,10,4,73,17,251,21411,Cobram,61,14,0.23
91,216021412,Moira,985,3,5,3,3,0,4,0,0,0,3,8,16,3,0,0,0,5,34,0,35,35,11,49,0,0,36,3,88,21412,Moira,23,3,0.13
92,216021413,Numurkah,956,0,3,5,4,29,32,0,6,6,7,112,118,76,4,3,4,88,149,13,160,172,39,301,12,0,134,12,480,21413,Numurkah,136,26,0.19
93,216021414,Yarrawonga,961,0,3,3,0,38,37,0,0,0,6,85,91,23,3,0,3,29,129,11,138,144,33,211,4,0,75,6,303,21414,Yarrawonga,85,21,0.25
