code,name,total,vulnerable,vulnerable_percentage
21442/21445,Craigieburn - North / Mickleham - Yuroke,369,80,0.22
21443,Craigieburn - South,296,79,0.27
21444,Craigieburn - West,418,106,0.25
21251,Bayswater,112,26,0.23
21254,Knoxfield - Scoresby,184,24,0.13
21255,Lysterfield,51,8,0.16
21256,Rowville - Central,137,20,0.15
21257,Rowville - North,92,13,0.14
21258,Rowville - South,75,10,0.13
21259,Wantirna,158,25,0.16
21260,Wantirna South,156,26,0.17
21446,Boronia,227,50,0.22
21447,Ferntree Gully (North),164,25,0.15
21448,Ferntree Gully (South) - Upper Ferntree,166,21,0.13
21449,The Basin,57,10,0.18
21261,Donvale - Park Orchards,158,30,0.19
21262,Warrandyte - Wonga Park,93,12,0.13
21263,Bayswater North,138,20,0.14
21265,Croydon Hills - Warranwood,220,35,0.16
21266,Ringwood,211,33,0.16
21267,Ringwood East,258,45,0.17
21268,Ringwood North,122,17,0.14
21450,Croydon - East,138,38,0.28
21451,Croydon - West,130,25,0.19
21452,Croydon South,41,11,0.27
21269,Forest Hill,112,14,0.12
21270,Mitcham (Vic.),204,35,0.17
21271,Nunawading,147,24,0.16
21272,Vermont,138,16,0.12
21273,Vermont South,70,3,0.04
21274,Belgrave - Selby,100,20,0.2
21275,Chirnside Park,131,23,0.18
21276,Healesville - Yarra Glen,162,32,0.2
21277,Kilsyth,98,14,0.14
21278,Lilydale - Coldstream,207,36,0.17
21279,Monbulk - Silvan,52,11,0.21
21280,Montrose,92,24,0.26
21281,Mooroolbark,242,42,0.17
21282,Mount Dandenong - Olinda,124,38,0.31
21283,Mount Evelyn,128,30,0.23
21284,Upwey - Tecoma,112,17,0.15
21285,Wandin - Seville,92,12,0.13
21286,Yarra Valley,186,38,0.2
21287,Beaconsfield - Officer,250,57,0.23
21288,Bunyip - Garfield,116,19,0.16
21289,Emerald - Cockatoo,236,42,0.18
21290,Koo Wee Rup,101,12,0.12
21291,Pakenham - North,374,78,0.21
21292,Pakenham - South,534,88,0.16
21293,Berwick - North,265,38,0.14
21294,Berwick - South,438,70,0.16
21295,Doveton,147,51,0.35
21297,Hallam,138,45,0.33
21299,Narre Warren North,61,5,0.08
21453,Endeavour Hills - North,122,22,0.18
21454,Endeavour Hills - South,164,43,0.26
21455,Narre Warren - North East,178,30,0.17
21456,Narre Warren - South West,163,38,0.23
21300,Cranbourne,321,76,0.24
21301,Cranbourne East,729,161,0.22
21302,Cranbourne North,457,89,0.19
21303,Cranbourne South,147,31,0.21
21304,Cranbourne West,382,73,0.19
21305,Hampton Park - Lynbrook,378,79,0.21
21306,Lynbrook - Lyndhurst,349,54,0.15
21308,Pearcedale - Tooradin,105,30,0.29
21457,Narre Warren South (East),184,36,0.2
21458,Narre Warren South (West),261,47,0.18
21309,Clarinda - Oakleigh South,135,28,0.21
