code,name,total,on_track,at_risk,vulnerable,vulnerable_percentage
21248/21250,Melbourne Airport / Tullamarine,62,50,7,5,0.08
21249,Roxburgh Park - Somerton,338,227,59,52,0.15
21441,Craigieburn - Central,129,71,27,31,0.24
21442/21445,Craigieburn - North / Mickleham - Yuroke,370,279,49,42,0.11
21443,Craigieburn - South,302,222,45,35,0.12
21444,Craigieburn - West,420,304,71,45,0.11
21251,Bayswater,112,82,20,10,0.09
21254,Knoxfield - Scoresby,184,156,19,9,0.05
21255,Lysterfield,51,41,5,5,0.1
21256,Rowville - Central,138,107,24,7,0.05
21257,Rowville - North,92,75,11,6,0.07
21258,Rowville - South,75,62,9,4,0.05
21259,Wantirna,158,129,14,15,0.09
21260,Wantirna South,156,126,16,14,0.09
21446,Boronia,227,170,41,16,0.07
21447,Ferntree Gully (North),165,141,16,8,0.05
21448,Ferntree Gully (South) - Upper Ferntree,167,143,15,9,0.05
21449,The Basin,58,47,7,4,0.07
21261,Donvale - Park Orchards,158,130,16,12,0.08
21262,Warrandyte - Wonga Park,93,76,12,5,0.05
21263,Bayswater North,138,117,17,4,0.03
21265,Croydon Hills - Warranwood,221,188,23,10,0.05
21266,Ringwood,212,181,22,9,0.04
21267,Ringwood East,258,199,40,19,0.07
21268,Ringwood North,128,108,15,5,0.04
21450,Croydon - East,138,95,25,18,0.13
21451,Croydon - West,131,107,17,7,0.05
21452,Croydon South,41,29,6,6,0.15
21269,Forest Hill,112,96,13,3,0.03
21270,Mitcham (Vic.),205,166,21,18,0.09
21271,Nunawading,147,111,25,11,0.07
21272,Vermont,138,106,23,9,0.07
21273,Vermont South,70,61,8,1,0.01
21274,Belgrave - Selby,100,80,14,6,0.06
21275,Chirnside Park,132,103,20,9,0.07
21276,Healesville - Yarra Glen,162,120,30,12,0.07
21277,Kilsyth,98,82,11,5,0.05
21278,Lilydale - Coldstream,208,159,31,18,0.09
21279,Monbulk - Silvan,52,33,15,4,0.08
21280,Montrose,92,71,11,10,0.11
21281,Mooroolbark,242,203,24,15,0.06
21282,Mount Dandenong - Olinda,124,86,13,25,0.2
21283,Mount Evelyn,128,107,13,8,0.06
21284,Upwey - Tecoma,112,91,15,6,0.05
21285,Wandin - Seville,92,71,17,4,0.04
21286,Yarra Valley,186,125,42,19,0.1
21287,Beaconsfield - Officer,250,173,45,32,0.13
21288,Bunyip - Garfield,116,91,19,6,0.05
21289,Emerald - Cockatoo,236,187,30,19,0.08
21290,Koo Wee Rup,101,85,10,6,0.06
21291,Pakenham - North,374,264,72,38,0.1
21292,Pakenham - South,536,428,67,41,0.08
21293,Berwick - North,266,226,23,17,0.06
21294,Berwick - South,438,365,43,30,0.07
21295,Doveton,147,91,35,21,0.14
21297,Hallam,139,93,31,15,0.11
21299,Narre Warren North,61,49,10,2,0.03
21453,Endeavour Hills - North,122,92,21,9,0.07
21454,Endeavour Hills - South,164,115,27,22,0.13
21455,Narre Warren - North East,178,144,25,9,0.05
21456,Narre Warren - South West,164,128,23,13,0.08
21300,Cranbourne,322,244,57,21,0.07
21301,Cranbourne East,730,546,116,68,0.09
21302,Cranbourne North,459,358,65,36,0.08
21303,Cranbourne South,147,105,27,15,0.1
21304,Cranbourne West,382,277,73,32,0.08
21305,Hampton Park - Lynbrook,379,297,49,33,0.09
21306,Lynbrook - Lyndhurst,350,272,58,20,0.06
21308,Pearcedale - Tooradin,105,77,15,13,0.12
21457,Narre Warren South (East),184,143,20,21,0.11
21458,Narre Warren South (West),261,209,34,18,0.07
21309,Clarinda - Oakleigh South,135,103,19,13,0.1
21310,Clayton South,146,99,25,22,0.15
21311,Dandenong,414,275,90,49,0.12
