code,name,total,on_track,at_risk,vulnerable,vulnerable_percentage
21373,Frankston South,236,212,19,5,0.02
21374,Langwarrin,304,249,44,11,0.04
21375,Seaford (Vic.),194,165,21,8,0.04
21376,Skye - Sandhurst,180,159,11,10,0.06
21377,Dromana,118,93,19,6,0.05
21378,Flinders,52,39,10,3,0.06
21379,Hastings - Somers,286,208,49,29,0.1
21380,Mornington,233,202,21,10,0.04
21381,Mount Eliza,282,255,22,5,0.02
21382,Mount Martha,206,168,36,2,0.01
21383,Point Nepean,169,150,16,3,0.02
21384,Rosebud - McCrae,209,162,28,19,0.09
21385,Somerville,210,160,33,17,0.08
21386,Ararat,79,53,17,9,0.11
21387,Ararat Region,40,33,6,1,0.03
21388,Horsham,205,158,33,14,0.07
21389,Horsham Region,37,31,5,1,0.03
21390,Nhill Region,73,59,11,3,0.04
21391/21394,St Arnaud / Yarriambiack,65,51,6,8,0.12
21392,Stawell,93,88,2,3,0.03
21393,West Wimmera,31,27,0,4,0.13
21395,Irymple,89,74,10,5,0.06
21396,Merbein,57,48,7,2,0.04
21398,Mildura Region,30,26,2,2,0.07
21399,Red Cliffs,74,47,22,5,0.07
21469,Mildura - North,225,167,38,20,0.09
21470,Mildura - South,203,140,43,20,0.1
21400,Buloke,52,39,7,6,0.12
21401,Gannawarra,69,55,12,2,0.03
21402,Kerang,27,24,1,2,0.07
21403,Robinvale,55,42,7,6,0.11
21404,Swan Hill,166,108,46,12,0.07
21405,Swan Hill Region,73,62,8,3,0.04
21406,Echuca,189,125,47,17,0.09
21407/21410,Kyabram / Rushworth,182,141,25,16,0.09
21408,Lockington - Gunbower,46,33,11,2,0.04
21409,Rochester,39,36,2,1,0.03
21411,Cobram,61,48,8,5,0.08
21412,Moira,24,21,2,1,0.04
21413,Numurkah,136,106,20,10,0.07
21414,Yarrawonga,93,71,12,10,0.11
21415,Mooroopna,112,60,27,25,0.22
21416,Shepparton - North,223,162,36,25,0.11
21417,Shepparton - South,347,225,54,68,0.2
21418,Shepparton Region - East,45,40,3,2,0.04
21419,Shepparton Region - West,110,85,19,6,0.05
21420,Glenelg (Vic.),85,61,14,10,0.12
21421,Hamilton (Vic.),98,80,11,7,0.07
21422,Portland,103,70,17,16,0.16
21423,Southern Grampians,70,56,8,6,0.09
21471,Camperdown,45,38,6,1,0.02
21472,Colac,167,134,19,14,0.08
21473,Colac Region,58,43,12,3,0.05
21474,Corangamite - North,63,45,9,9,0.14
21475,Corangamite - South,97,86,6,5,0.05
21476,Otway,28,26,1,1,0.04
21477,Moyne - East,74,66,6,2,0.03
21478,Moyne - West,109,87,18,4,0.04
21479,Warrnambool - North,209,168,30,11,0.05
21480,Warrnambool - South,138,115,18,5,0.04
